;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;AAC;;36;1;89.4;53.4;36.05;;13.63;;29.01;20.68;49.69;93.21;23.51;69.70
2;Baylor;Big 12;;33;2;86.1;55.2;30.94;;12.61;;25.42;17.16;42.58;84.96;26.41;58.55
3;Mississippi State;SEC;;37;2;81.1;56.4;24.74;;13.06;;21.68;16.13;37.81;86.76;30.71;56.05
4;Notre Dame;ACC;;35;3;85.1;67.8;17.34;;18.86;;27.82;8.39;36.21;88.84;36.81;52.03
5;Louisville;ACC;;36;3;76.7;57.1;19.69;;15.01;;17.53;17.17;34.70;82.22;30.83;51.39
6;Oregon;Pac-12;;33;5;82.4;63.6;18.82;;14.58;;22.23;11.20;33.42;86.94;37.41;49.52
7;Texas;Big 12;;28;7;80.7;63.1;17.63;;15.59;;21.77;10.48;32.25;77.49;33.10;44.40
8;UCLA;Pac-12;;27;8;75.5;63.5;11.94;;17.03;;17.01;11.96;28.97;77.94;34.89;43.04
9;Florida State;ACC;;26;7;81.0;64.3;16.70;;11.23;;21.63;6.30;27.93;83.17;41.86;41.31
10;Ohio State;Big Ten;;28;7;85.0;71.1;13.89;;13.62;;24.97;2.54;27.51;81.49;41.88;39.61
11;South Carolina;SEC;;29;7;75.2;60.1;15.08;;13.31;;15.89;11.45;27.34;75.88;36.15;39.73
12;Tennessee;SEC;;25;8;77.6;64.3;13.27;;13.19;;17.14;9.32;26.47;72.28;33.80;38.48
13;Oregon State;Pac-12;;26;8;72.6;57.8;14.82;;12.48;;12.01;14.23;26.24;75.21;35.94;39.27
14;Maryland;Big Ten;;26;8;79.6;64.1;15.50;;10.10;;18.31;7.28;25.60;78.96;41.04;37.92
15;Duke;ACC;;24;9;68.8;56.3;12.48;;11.59;;9.13;14.94;24.07;72.77;35.21;37.56
16;Oklahoma State;Big 12;;21;11;78.3;67.6;10.72;;12.89;;17.76;5.85;23.61;76.07;41.12;34.95
17;Stanford;Pac-12;;24;11;68.7;62.7;6.09;;17.47;;10.45;13.11;23.56;70.38;33.78;36.60
18;Arizona State;Pac-12;;22;13;67.8;57.8;10.03;;13.37;;7.52;15.88;23.40;72.79;37.00;35.80
19;DePaul;Big East;;27;8;82.9;70.8;12.11;;10.88;;21.95;1.04;22.99;78.79;44.72;34.07
