;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;AAC;;38;0;88.1;48.3;39.71;;12.62;;29.00;23.33;52.33;98.60;20.32;78.28
2;Baylor;Big 12;;36;2;77.7;52.3;25.32;;11.66;;19.22;16.55;35.77;78.91;26.06;52.85
3;Maryland;Big Ten;;31;4;83.2;60.3;22.86;;10.84;;21.66;12.04;33.70;84.66;33.72;50.94
4;Notre Dame;ACC;;33;2;80.0;61.3;18.77;;14.19;;22.37;10.59;32.96;85.13;34.78;50.35
5;South Carolina;SEC;;33;2;73.6;55.7;17.91;;13.37;;15.77;15.52;31.29;81.01;31.57;49.44
6;Oregon State;Pac-12;;32;5;66.9;51.9;14.95;;14.82;;7.85;21.91;29.76;73.30;26.97;46.33
7;Stanford;Pac-12;;27;8;68.8;56.0;12.83;;14.66;;11.81;15.68;27.49;75.97;33.26;42.71
8;Ohio State;Big Ten;;26;8;86.0;74.6;11.47;;15.63;;27.93;-0.83;27.10;84.90;43.55;41.36
9;Texas;Big 12;;31;5;71.1;56.4;14.69;;12.40;;13.47;13.62;27.09;73.43;30.28;43.15
10;Florida State;ACC;;25;8;73.5;57.5;15.97;;11.04;;15.04;11.97;27.01;76.47;32.88;43.59
11;Kentucky;SEC;;25;8;74.7;60.6;14.09;;12.15;;16.47;9.77;26.24;76.09;35.01;41.08
12;DePaul;Big East;;27;9;80.9;65.5;15.44;;10.55;;21.68;4.32;25.99;83.19;43.04;40.16
13;UCLA;Pac-12;;26;9;73.8;64.0;9.83;;15.53;;16.67;8.69;25.36;72.32;33.07;39.26
14;Syracuse;ACC;;30;8;72.5;60.1;12.37;;12.67;;15.24;9.80;25.04;73.11;33.45;39.66
15;Michigan State;Big Ten;;25;9;75.9;64.4;11.47;;13.26;;15.08;9.65;24.73;74.35;35.70;38.65
16;Louisville;ACC;;26;8;72.2;59.4;12.74;;10.83;;13.29;10.28;23.57;77.94;39.00;38.95
17;South Florida;AAC;;24;10;72.7;62.0;10.68;;12.43;;14.40;8.71;23.11;75.57;38.83;36.74
18;Arizona State;Pac-12;;26;7;63.9;54.9;9.03;;14.05;;6.07;17.01;23.08;70.50;32.87;37.63
19;Washington;Pac-12;;26;11;71.4;63.2;8.19;;14.56;;14.35;8.39;22.74;71.76;37.72;34.04
20;Mississippi State;SEC;;28;8;69.2;55.2;13.97;;8.89;;10.39;11.78;22.17;69.24;34.66;34.58
21;Texas A&M;SEC;;22;10;70.4;61.5;8.91;;13.05;;12.49;9.46;21.95;72.84;36.62;36.21
22;West Virginia;Big 12;;25;10;70.6;58.7;11.89;;9.96;;9.99;11.85;21.84;71.49;35.57;35.93
23;Tennessee;SEC;;22;14;65.6;59.0;6.58;;15.24;;10.16;11.67;21.83;70.64;34.95;35.69
24;Oklahoma;Big 12;;22;11;69.6;61.9;7.67;;13.11;;12.31;8.47;20.78;69.54;35.60;33.93
25;Miami (FL);ACC;;24;9;70.7;60.7;10.03;;9.68;;10.87;8.84;19.71;70.44;37.23;33.22
26;Georgia;SEC;;21;10;63.9;54.1;9.81;;9.51;;4.22;15.10;19.32;65.44;32.34;33.11
27;Duke;ACC;;20;12;68.4;59.0;9.41;;9.73;;8.24;10.89;19.13;68.28;36.46;31.83
28;Michigan;Big Ten;;21;14;78.6;69.1;9.54;;10.74;;17.57;1.26;18.82;76.56;47.70;28.86
29;Florida;SEC;;22;9;77.4;67.9;9.42;;10.35;;19.23;-0.53;18.70;66.53;38.98;27.55
30;Southern California;Pac-12;;19;13;66.6;57.4;9.13;;12.10;;8.62;9.94;18.55;65.85;36.84;29.01
31;Purdue;Big Ten;;20;12;67.3;61.5;5.81;;12.50;;7.35;10.96;18.31;67.77;37.24;30.54
32;Missouri;SEC;;22;10;68.0;58.4;9.56;;8.37;;7.38;10.55;17.93;69.60;39.13;30.47
33;Oregon;Pac-12;;24;11;72.7;64.1;8.63;;9.15;;12.48;5.30;17.78;75.15;46.56;28.59
34;Princeton;Ivy;;23;6;75.6;58.3;17.31;;0.15;;11.03;6.43;17.46;72.59;42.65;29.94
35;Oklahoma State;Big 12;;21;10;65.1;56.5;8.55;;10.13;;5.37;11.76;17.13;63.68;34.90;28.79
36;Rutgers;Big Ten;;19;15;62.3;59.1;3.15;;14.27;;1.94;14.72;16.65;65.71;38.02;27.69
37;Green Bay;Horizon;;28;5;66.2;52.2;14.00;;2.44;;1.13;15.31;16.44;66.96;36.94;30.03
38;Indiana;Big Ten;;21;12;71.5;68.0;3.58;;12.63;;11.04;5.17;16.21;71.32;43.69;27.62
39;Northwestern;Big Ten;;18;17;74.6;68.1;6.54;;11.15;;11.66;4.06;15.72;65.29;38.96;26.33
40;California;Pac-12;;15;17;67.6;66.5;1.09;;14.48;;9.29;6.29;15.58;66.70;41.54;25.16
41;South Dakota;Summit;;32;6;78.2;62.8;15.42;;2.00;;12.90;2.40;15.30;70.19;44.64;25.55
42;Vanderbilt;SEC;;18;14;62.5;56.4;6.13;;9.16;;3.37;11.91;15.29;70.74;42.54;28.19
43;Temple;AAC;;23;12;70.1;63.7;6.46;;8.71;;9.99;5.18;15.17;67.35;41.25;26.10
44;St. John's (NY);Big East;;23;10;66.7;60.4;6.27;;7.92;;5.91;8.95;14.86;67.02;41.16;25.86
45;Kansas State;Big 12;;19;13;64.4;61.4;3.03;;11.73;;5.10;9.66;14.76;64.10;38.14;25.96
46;Georgia Tech;ACC;;20;13;68.9;60.9;8.03;;6.60;;8.62;6.01;14.63;70.77;44.10;26.67
47;Nebraska;Big Ten;;18;13;72.7;68.1;4.58;;9.95;;11.76;2.77;14.53;70.08;44.69;25.40
48;James Madison;CAA;;27;6;69.4;55.4;14.03;;0.44;;7.20;7.27;14.47;67.86;41.05;26.81
49;Iowa;Big Ten;;19;14;73.2;71.3;1.91;;12.52;;12.18;2.26;14.43;71.97;47.40;24.57
50;Seton Hall;Big East;;23;9;73.3;66.8;6.47;;7.68;;13.16;0.99;14.15;71.67;46.77;24.89
51;Albany (NY);AEC;;28;5;70.4;53.2;17.12;;-3.35;;6.61;7.14;13.74;71.01;45.79;25.22
52;Minnesota;Big Ten;;20;12;83.6;79.8;3.81;;9.84;;22.88;-9.22;13.66;77.29;53.83;23.46
53;South Dakota State;Summit;;27;7;70.1;59.9;10.24;;3.42;;6.78;6.88;13.66;68.03;43.30;24.73
54;Utah;Pac-12;;18;15;68.7;67.9;0.73;;12.70;;10.25;3.18;13.43;67.09;44.29;22.80
55;NC State;ACC;;20;11;67.5;62.6;4.84;;8.39;;6.75;6.48;13.23;68.05;43.45;24.60
56;Duquesne;A-10;;28;6;71.8;60.6;11.21;;3.83;;9.86;3.12;12.98;66.61;44.13;22.47
57;George Washington;A-10;;26;7;71.2;62.0;9.21;;3.68;;9.84;3.05;12.89;64.17;41.32;22.84
58;TCU;Big 12;;18;15;72.2;67.8;4.42;;8.31;;12.51;0.22;12.73;70.43;46.91;23.51
59;Ohio;MAC;;26;7;72.0;60.2;11.82;;0.79;;7.63;4.98;12.61;64.53;42.79;21.74
60;Villanova;Big East;;20;12;63.3;57.9;5.38;;7.19;;1.27;11.29;12.57;70.11;45.93;24.18
61;Auburn;SEC;;20;13;62.1;58.6;3.42;;10.62;;1.85;10.31;12.16;58.43;36.85;21.58
62;Army;Patriot;;29;3;70.3;49.3;20.97;;-6.75;;3.63;8.49;12.12;66.52;43.37;23.15
63;Colorado State;MWC;;31;2;68.0;48.5;19.42;;-3.07;;2.49;9.51;12.00;54.21;34.29;19.92
64;Washington State;Pac-12;;14;16;64.6;62.5;2.10;;12.28;;6.69;5.30;11.98;58.11;38.17;19.95
65;Drake;MVC;;23;10;79.6;65.5;14.15;;0.18;;15.92;-4.26;11.65;68.26;48.56;19.70
66;Brigham Young;WCC;;26;7;69.7;56.7;12.97;;4.91;;6.15;5.16;11.32;58.55;40.78;17.78
67;Virginia Tech;ACC;;18;14;58.4;53.5;4.91;;6.32;;-2.18;13.41;11.23;58.68;36.73;21.95
68;Virginia;ACC;;18;16;63.5;61.0;2.44;;8.64;;4.58;6.50;11.08;65.18;44.27;20.91
69;Creighton;Big East;;17;18;64.9;62.1;2.80;;8.22;;3.41;7.61;11.02;70.28;49.09;21.20
70;Florida Gulf Coast;A-Sun;;33;6;64.7;49.2;15.59;;-2.74;;-1.10;12.10;11.00;61.39;38.76;22.63
71;Gonzaga;WCC;;19;14;65.9;54.9;10.97;;3.55;;1.63;9.23;10.86;58.91;40.39;18.51
