;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Tennessee;SEC;;34;3;73.6;55.5;18.08;;15.06;;11.22;25.01;36.23;505.12;-342.00;847.12
2;North Carolina;ACC;;34;4;83.7;54.2;29.50;;11.86;;12.43;16.63;29.06;496.34;-349.08;845.42
3;Rutgers;Big East;;27;9;64.4;54.4;10.00;;14.51;;9.63;19.38;29.01;529.10;-307.31;836.41
4;Duke;ACC;;32;2;75.5;51.4;24.12;;10.58;;7.41;18.50;25.91;486.35;-358.93;845.28
5;Pittsburgh;Big East;;24;9;67.0;60.1;6.85;;26.07;;16.21;7.86;24.07;511.60;-321.62;833.23
6;Marist;MAAC;;29;6;67.4;54.4;12.97;;19.13;;8.00;10.80;18.80;519.88;-355.63;875.51
7;Notre Dame;Big East;;20;12;70.1;66.1;3.94;;21.25;;3.27;14.98;18.25;508.76;-312.02;820.78
8;Temple;A-10;;25;8;67.1;57.8;9.27;;21.23;;8.46;9.27;17.73;531.73;-310.36;842.09
9;California;Pac-10;;23;9;67.9;60.1;7.84;;19.67;;11.38;5.29;16.67;474.57;-337.81;812.38
10;Purdue;Big Ten;;31;6;69.6;54.6;15.03;;5.54;;23.00;-8.72;14.29;490.02;-309.20;799.22
11;Michigan State;Big Ten;;24;9;64.8;58.7;6.09;;15.12;;12.42;1.70;14.12;467.33;-349.22;816.55
12;George Washington;A-10;;28;4;67.1;55.6;11.50;;10.46;;7.90;4.89;12.79;517.82;-329.19;847.01
13;Nebraska;Big 12;;22;10;71.3;62.6;8.66;;15.74;;6.42;6.32;12.74;484.46;-345.59;830.05
14;Ohio State;Big Ten;;28;4;72.3;57.5;14.84;;16.63;;8.94;3.68;12.63;534.03;-340.06;874.10
15;James Madison;CAA;;27;6;72.5;58.2;14.24;;22.01;;4.11;7.90;12.01;487.64;-340.59;828.23
16;Arizona State;Pac-10;;31;5;72.4;58.6;13.81;;4.10;;0.58;7.27;7.85;490.89;-341.67;832.56
17;Louisiana State;SEC;;34;9;58.3;43.3;14.93;;-3.32;;-6.80;14.48;7.68;460.13;-362.90;823.03
18;Boise State;WAC;;24;9;68.9;61.0;7.97;;14.13;;9.30;-4.17;5.13;493.12;-345.32;838.45
19;Delaware;CAA;;26;6;68.8;55.9;12.91;;15.99;;-2.40;7.39;4.99;529.71;-297.92;827.63
20;West Virginia;Big East;;21;11;63.7;56.3;7.38;;0.09;;-4.75;8.34;3.59;527.96;-286.63;814.59
21;UC Riverside;Big West;;21;11;61.3;56.8;4.53;;9.70;;-4.39;7.09;2.70;510.68;-317.18;827.86
22;Middle Tennessee;Sun Belt;;30;4;79.2;60.5;18.68;;-10.05;;4.87;-2.41;2.45;541.46;-337.99;879.45
23;Mississippi;SEC;;24;11;77.7;67.3;10.40;;3.11;;23.49;-21.12;2.36;499.01;-327.68;826.69
24;Georgia Tech;ACC;;21;12;66.1;57.8;8.27;;8.26;;-8.19;10.45;2.26;441.00;-321.44;762.44
25;Texas A&M;Big 12;;25;7;65.6;53.6;12.00;;3.87;;-10.74;12.61;1.87;487.78;-355.76;843.53
26;Georgia;SEC;;27;7;71.8;57.6;14.15;;-6.14;;-6.03;7.89;1.86;449.58;-311.69;761.27
27;Louisville;Big East;;27;8;73.5;62.4;11.11;;-7.84;;3.60;-2.94;0.66;518.10;-308.38;826.48
28;DePaul;Big East;;19;13;73.3;69.7;3.53;;0.95;;0.61;-0.66;-0.05;481.91;-274.10;756.01
29;Drake;MVC;;14;19;62.7;63.2;-0.52;;38.17;;-0.72;-0.12;-0.84;510.67;-322.81;833.48
30;Florida State;ACC;;24;10;67.8;61.3;6.53;;-3.63;;-4.58;2.61;-1.97;531.76;-261.72;793.48
31;Oral Roberts;Mid-Cont;;22;11;67.7;51.5;16.18;;15.46;;-29.23;23.69;-5.54;449.45;-331.92;781.36
32;UT Arlington;Southland;;24;9;64.9;53.9;10.97;;0.35;;-1.45;-6.20;-7.65;529.91;-320.35;850.25
33;Oklahoma;Big 12;;28;5;76.6;61.5;15.15;;-20.27;;-4.64;-3.30;-7.94;484.61;-321.74;806.35
34;Bowling Green State;MAC;;31;4;74.4;57.2;17.23;;-4.11;;-5.39;-3.05;-8.44;517.53;-344.14;861.66
35;Holy Cross;Patriot;;15;18;57.8;61.6;-3.85;;27.80;;0.50;-9.70;-9.20;526.77;-303.71;830.47
