;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;AAC;;36;1;87.1;54.9;32.22;;14.57;;28.19;18.60;46.79;96.55;26.91;69.64
2;Baylor;Big 12;;33;4;89.5;56.3;33.22;;12.90;;29.06;17.06;46.12;91.31;25.58;65.73
3;South Carolina;SEC;;33;4;76.3;56.1;20.27;;16.57;;19.71;16.32;36.03;84.68;30.05;54.63
4;Washington;Pac-12;;29;6;85.0;63.0;22.03;;13.26;;26.68;7.58;34.26;87.03;38.62;48.41
5;Mississippi State;SEC;;34;5;75.9;57.6;18.31;;15.65;;17.83;16.13;33.96;82.77;31.06;51.72
6;Notre Dame;ACC;;33;4;80.1;62.3;17.81;;15.83;;21.88;11.76;33.64;87.64;36.39;51.24
7;Florida State;ACC;;28;7;79.0;58.3;20.71;;12.62;;19.69;13.65;33.33;81.94;31.36;50.58
8;Maryland;Big Ten;;32;3;89.3;64.5;24.83;;8.22;;27.38;5.67;33.05;88.12;39.75;48.37
9;Stanford;Pac-12;;32;6;71.7;56.5;15.24;;16.32;;14.87;16.69;31.56;79.10;31.09;48.01
10;Duke;ACC;;28;6;73.7;55.4;18.26;;11.56;;13.61;16.21;29.82;76.35;30.51;45.84
11;Texas;Big 12;;25;9;74.0;62.1;11.88;;17.28;;16.01;13.15;29.16;76.92;32.15;44.78
12;UCLA;Pac-12;;25;9;74.1;63.8;10.35;;17.23;;17.40;10.18;27.58;78.62;36.49;42.13
13;Louisville;ACC;;29;8;74.6;61.0;13.59;;13.73;;15.30;12.03;27.32;77.90;34.95;42.95
14;Oregon State;Pac-12;;31;5;65.6;54.4;11.25;;14.50;;7.34;18.41;25.75;72.47;32.17;40.30
15;Ohio State;Big Ten;;28;7;85.7;71.5;14.17;;10.11;;24.42;-0.14;24.28;79.42;43.03;36.39
16;Syracuse;ACC;;22;11;78.6;67.4;11.24;;11.69;;18.66;4.34;22.99;78.41;42.52;35.89
17;Kentucky;SEC;;22;11;70.9;63.5;7.36;;15.52;;13.39;9.50;22.89;78.45;40.91;37.54
18;Michigan;Big Ten;;28;9;76.9;61.8;15.14;;7.58;;14.54;8.17;22.71;74.03;39.38;34.65
19;West Virginia;Big 12;;24;11;74.0;62.5;11.43;;11.23;;12.79;9.87;22.66;73.98;38.25;35.73
20;Tennessee;SEC;;20;12;73.3;65.9;7.44;;15.18;;14.68;7.94;22.62;76.09;39.77;36.32
21;Arizona State;Pac-12;;20;13;63.8;57.8;6.06;;16.29;;5.38;16.97;22.35;71.29;35.90;35.40
22;Oregon;Pac-12;;23;14;70.9;65.8;5.11;;16.81;;13.10;8.81;21.92;75.86;42.07;33.79
23;Kansas State;Big 12;;23;11;67.5;62.4;5.03;;16.88;;9.03;12.88;21.91;72.01;36.68;35.33
24;DePaul;Big East;;27;8;80.7;67.7;12.94;;8.70;;19.59;2.05;21.64;76.27;42.07;34.20
25;NC State;ACC;;23;9;71.2;59.2;12.00;;9.13;;10.95;10.18;21.13;74.54;39.04;35.49
26;Miami (FL);ACC;;24;9;72.1;63.2;8.91;;11.69;;12.06;8.53;20.59;73.62;39.56;34.05
27;Oklahoma;Big 12;;23;10;74.0;69.6;4.39;;15.54;;15.79;4.14;19.93;70.25;38.51;31.74
28;Texas A&M;SEC;;22;12;68.7;63.1;5.62;;13.07;;10.45;8.24;18.69;75.77;44.21;31.56
29;Iowa State;Big 12;;18;13;73.8;67.2;6.65;;13.43;;13.29;5.14;18.43;74.14;45.09;29.04
30;Indiana;Big Ten;;23;11;74.9;64.9;10.06;;8.02;;13.33;4.75;18.07;75.44;44.93;30.51
31;Iowa;Big Ten;;20;14;76.1;68.8;7.35;;10.60;;14.88;3.08;17.96;73.46;44.26;29.20
32;California;Pac-12;;20;14;68.7;65.1;3.65;;14.26;;10.18;7.73;17.91;69.35;41.02;28.33
