;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
53;Gonzaga;WCC;;26;8;71.7;58.1;13.62;;3.10;;7.06;6.02;13.07;63.39;42.39;21.00
54;Louisiana State;SEC;;17;14;63.3;60.5;2.77;;10.29;;4.43;8.64;13.07;65.80;43.10;22.71
55;Kansas;Big 12;;15;17;63.3;62.0;1.28;;11.62;;4.26;8.64;12.90;67.46;44.07;23.39
56;NC State;ACC;;18;15;67.3;63.0;4.33;;8.54;;6.62;6.25;12.87;70.23;46.68;23.55
57;Little Rock;Sun Belt;;29;5;65.1;51.5;13.59;;-1.02;;-0.45;13.01;12.57;65.60;40.17;25.44
58;Georgia Tech;ACC;;19;15;71.8;66.9;4.88;;8.25;;10.63;1.77;12.40;75.01;51.79;23.22
59;Washington State;Pac-12;;17;15;68.0;66.3;1.69;;10.65;;8.59;3.75;12.34;64.14;43.34;20.81
60;East Carolina;AAC;;22;11;66.6;60.3;6.30;;5.91;;5.98;6.23;12.21;63.80;41.60;22.21
61;Missouri;SEC;;19;14;63.4;59.4;4.00;;8.15;;3.75;8.40;12.15;65.93;44.09;21.83
62;Chattanooga;Southern;;29;4;62.6;50.5;12.18;;-0.54;;-2.96;14.51;11.55;66.85;41.98;24.86
63;Quinnipiac;MAAC;;31;4;78.5;64.5;14.00;;-2.45;;14.76;-3.21;11.55;73.00;52.33;20.67
64;Colorado;Pac-12;;15;17;69.1;68.3;0.78;;10.76;;9.14;2.40;11.54;67.98;47.86;20.12
65;Ohio;MAC;;27;5;69.8;56.5;13.28;;-1.89;;4.40;6.99;11.39;65.01;44.44;20.56
66;Villanova;Big East;;22;14;62.2;56.3;5.86;;5.37;;-0.62;11.85;11.23;71.31;49.06;22.25
67;Kansas State;Big 12;;19;14;59.6;56.5;3.06;;9.70;;0.11;10.69;10.80;59.89;39.98;19.91
68;Purdue;Big Ten;;11;20;63.2;66.3;-3.13;;13.78;;3.57;7.08;10.65;63.52;44.07;19.46
69;Wichita State;MVC;;29;5;64.4;51.8;12.68;;-2.06;;-0.99;11.61;10.62;66.80;44.42;22.37
70;Virginia;ACC;;17;14;67.3;63.8;3.48;;6.83;;6.11;4.20;10.31;70.00;50.23;19.77
71;South Dakota State;Summit;;24;9;72.2;62.2;9.97;;0.10;;6.91;3.17;10.07;67.84;48.21;19.64
72;Vanderbilt;SEC;;15;16;61.6;62.7;-1.03;;13.30;;3.21;6.55;9.77;64.89;47.41;17.49
73;Albany (NY);AEC;;24;9;68.9;55.2;13.67;;-3.95;;3.15;6.57;9.72;68.35;48.58;19.77
74;Wisconsin;Big Ten;;9;20;64.4;68.5;-4.07;;13.55;;4.90;4.58;9.48;68.24;50.39;17.85
75;Mississippi;SEC;;19;14;65.1;63.1;2.06;;7.27;;5.00;4.34;9.33;62.43;44.85;17.59
76;Wright State;Horizon;;25;9;78.8;60.9;17.85;;-2.73;;9.40;-0.10;9.30;62.15;46.11;16.04
77;TCU;Big 12;;18;14;69.6;69.5;0.06;;9.17;;10.33;-1.10;9.23;70.51;51.85;18.65
78;St. John's (NY);Big East;;23;11;63.1;58.5;4.62;;4.46;;0.19;8.89;9.08;64.92;46.57;18.35
79;Auburn;SEC;;13;18;57.6;53.8;3.81;;6.94;;-2.44;11.38;8.94;57.23;40.55;16.68
80;Duquesne;A-10;;23;11;69.0;62.4;6.62;;2.15;;6.20;2.56;8.76;68.50;50.71;17.80
