;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Oregon;Pac-12;;31;2;86.0;57.9;28.06;;14.83;;28.73;14.16;42.89;99.27;35.09;64.18
2;Baylor;Big 12;;28;2;81.9;51.6;30.23;;10.96;;21.11;20.08;41.19;84.60;25.57;59.03
3;South Carolina;SEC;;32;1;82.0;56.1;25.91;;15.23;;23.38;17.76;41.14;86.42;26.86;59.56
4;Maryland;Big Ten;;28;4;82.8;57.0;25.78;;13.51;;24.22;15.07;39.29;85.45;29.10;56.35
5;Connecticut;AAC;;29;3;78.7;52.8;25.88;;11.95;;18.86;18.96;37.82;85.35;29.12;56.23
6;Mississippi State;SEC;;27;6;79.2;60.6;18.61;;11.07;;19.53;10.14;29.67;80.00;35.80;44.20
7;Stanford;Pac-12;;27;6;73.3;60.2;13.15;;15.97;;15.06;14.07;29.13;78.98;34.67;44.31
8;Louisville;ACC;;28;4;72.8;56.4;16.34;;12.00;;12.47;15.87;28.34;79.60;35.54;44.06
9;Indiana;Big Ten;;24;8;72.6;59.4;13.19;;14.74;;13.87;14.06;27.93;77.78;34.80;42.98
10;Oregon State;Pac-12;;23;9;71.7;58.4;13.28;;13.71;;12.49;14.50;27.00;79.11;37.15;41.96
11;Northwestern;Big Ten;;26;4;70.9;57.1;13.80;;12.43;;10.34;15.89;26.23;76.18;35.41;40.77
12;Arkansas;SEC;;24;8;83.4;65.8;17.56;;9.84;;23.19;2.39;25.59;80.19;42.65;37.54
13;NC State;ACC;;28;4;71.6;57.0;14.56;;10.65;;12.07;13.14;25.21;79.67;39.71;39.96
14;South Dakota;Summit;;30;2;81.4;54.5;26.91;;0.30;;13.59;10.94;24.53;76.06;38.34;37.72
15;UCLA;Pac-12;;26;5;72.6;61.9;10.77;;13.02;;14.64;9.16;23.80;75.40;38.86;36.54
16;Texas A&M;SEC;;22;8;69.7;58.4;11.37;;12.18;;11.16;12.39;23.55;75.57;38.11;37.46
17;Princeton;Ivy;;26;1;71.2;47.9;23.30;;0.19;;6.56;16.92;23.48;71.64;33.19;38.45
18;Arizona;Pac-12;;24;7;69.1;56.6;12.45;;10.92;;8.53;14.85;23.37;72.06;34.98;37.09
19;Florida State;ACC;;24;8;72.5;60.1;12.41;;10.95;;13.57;9.79;23.36;79.69;42.26;37.43
20;Kentucky;SEC;;22;8;72.5;60.2;12.27;;10.69;;12.17;10.79;22.96;76.61;40.16;36.46
21;Iowa;Big Ten;;23;7;79.5;70.5;9.00;;13.82;;19.68;3.14;22.82;83.35;47.71;35.65
22;Ohio State;Big Ten;;21;12;71.5;65.9;5.67;;16.50;;13.05;9.12;22.17;74.14;39.87;34.27
23;Gonzaga;WCC;;28;3;68.1;49.1;19.06;;4.72;;5.06;15.89;20.95;64.69;32.88;31.81
24;Michigan;Big Ten;;21;11;70.8;63.4;7.44;;13.28;;11.53;9.19;20.72;76.55;43.59;32.96
25;DePaul;Big East;;28;5;85.0;71.8;13.12;;7.59;;24.54;-3.83;20.71;81.45;50.03;31.42
26;Rutgers;Big Ten;;22;9;66.5;56.7;9.71;;10.01;;5.96;13.76;19.72;72.46;40.28;32.18
27;Arizona State;Pac-12;;20;11;65.5;59.2;6.26;;13.15;;6.56;12.85;19.41;69.56;38.61;30.95
28;Georgia Tech;ACC;;20;11;61.8;52.5;9.39;;10.00;;1.61;17.77;19.38;67.58;34.95;32.63
29;Iowa State;Big 12;;18;11;72.4;65.2;7.21;;11.91;;11.07;8.04;19.12;72.24;42.20;30.04
30;Virginia Tech;ACC;;21;9;71.0;62.1;8.90;;9.66;;11.29;7.27;18.56;72.94;42.67;30.27
31;Duke;ACC;;18;12;67.7;63.5;4.23;;14.26;;9.12;9.38;18.50;70.79;40.87;29.92
32;TCU;Big 12;;22;7;71.4;64.8;6.59;;11.77;;10.70;7.66;18.35;69.46;40.21;29.26
33;Tennessee;SEC;;21;10;70.2;60.3;9.94;;8.27;;9.09;9.12;18.21;68.38;38.88;29.50
34;Texas;Big 12;;19;11;69.5;64.2;5.23;;12.60;;9.77;8.07;17.84;67.58;38.97;28.61
35;Alabama;SEC;;18;12;71.7;64.2;7.43;;10.17;;11.42;6.17;17.60;74.28;45.81;28.47
36;Florida Gulf Coast;A-Sun;;30;3;78.6;53.7;24.88;;-0.57;;12.49;5.00;17.49;65.66;40.06;25.60
37;Missouri State;MVC;;26;4;77.7;63.7;13.97;;5.90;;13.52;3.01;16.52;70.73;44.75;25.99
38;Drake;MVC;;22;8;82.6;69.6;13.03;;6.10;;18.77;-2.74;16.03;73.25;48.66;24.60
39;Kansas State;Big 12;;16;13;68.8;64.7;4.14;;11.82;;7.95;8.00;15.95;65.06;39.21;25.85
40;James Madison;CAA;;25;4;71.0;54.9;16.10;;-0.49;;6.67;8.94;15.61;70.40;43.48;26.92
41;Louisiana State;SEC;;20;10;64.8;60.3;4.50;;11.07;;4.44;11.13;15.57;68.96;42.75;26.21
42;Oklahoma State;Big 12;;15;15;64.5;62.8;1.70;;13.81;;5.27;10.24;15.51;63.68;37.68;26.00
