;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;Big East;;35;4;82.5;49.8;32.72;;16.38;;27.14;21.95;49.09;97.13;25.12;72.01
2;Baylor;Big 12;;34;2;81.1;54.1;27.03;;15.82;;24.91;17.38;42.30;91.38;29.31;62.07
3;Notre Dame;Big East;;35;2;81.2;59.2;21.95;;15.81;;25.06;12.70;37.76;89.97;35.01;54.96
4;Duke;ACC;;33;3;74.5;53.9;20.64;;12.88;;17.90;15.62;33.52;83.51;34.00;49.51
5;Stanford;Pac-12;;33;3;70.5;51.9;18.56;;12.55;;14.50;16.61;31.11;84.43;36.78;47.65
6;Maryland;ACC;;26;8;75.0;56.8;18.21;;12.23;;18.88;11.56;30.44;85.44;39.66;45.79
7;Kentucky;SEC;;30;6;75.4;57.9;17.50;;11.61;;19.18;9.93;29.11;80.31;36.62;43.69
8;Tennessee;SEC;;27;8;77.6;63.9;13.71;;14.31;;22.33;5.69;28.02;84.74;43.18;41.57
9;Texas A&M;SEC;;25;10;69.9;57.7;12.11;;14.52;;14.05;12.59;26.63;79.46;38.37;41.09
10;Louisville;Big East;;29;9;71.7;58.6;13.16;;13.44;;15.26;11.34;26.59;81.29;40.24;41.05
11;Penn State;Big Ten;;26;6;73.6;59.1;14.56;;11.84;;18.51;7.90;26.40;79.61;40.11;39.50
12;Oklahoma State;Big 12;;22;11;73.4;59.7;13.70;;11.18;;15.40;9.47;24.87;77.88;40.56;37.32
13;California;Pac-12;;32;4;71.8;58.5;13.36;;10.89;;14.66;9.59;24.25;79.57;42.92;36.65
14;Iowa State;Big 12;;24;9;67.4;57.6;9.73;;13.21;;10.29;12.64;22.93;77.26;42.00;35.26
15;Florida State;ACC;;23;10;74.8;65.0;9.82;;12.11;;18.28;4.26;22.53;79.35;45.94;33.41
16;Syracuse;Big East;;24;8;72.0;57.4;14.56;;7.76;;14.60;7.72;22.32;76.74;42.31;34.43
17;Georgia;SEC;;28;7;66.3;52.2;14.06;;8.66;;8.40;12.69;21.08;69.53;37.00;32.53
18;Nebraska;Big Ten;;25;9;67.0;59.0;8.00;;12.49;;10.36;10.10;20.46;76.36;43.46;32.90
19;Dayton;A-10;;28;3;75.9;59.1;16.77;;3.50;;16.56;3.71;20.28;77.16;46.64;30.52
20;Oklahoma;Big 12;;24;11;72.6;66.6;6.03;;14.20;;17.23;3.00;20.23;78.15;46.01;32.13
21;Michigan State;Big Ten;;25;9;61.7;52.1;9.56;;10.35;;4.85;15.06;19.91;71.35;38.46;32.88
22;Green Bay;Horizon;;29;3;67.9;47.3;20.53;;0.78;;3.96;15.94;19.90;71.07;37.98;33.09
23;UCLA;Pac-12;;26;8;67.5;60.4;7.12;;12.78;;11.43;8.46;19.89;69.33;40.18;29.15
24;South Carolina;SEC;;25;8;61.3;48.9;12.45;;8.81;;2.99;16.83;19.81;68.56;36.09;32.48
25;Delaware;CAA;;32;4;67.0;52.2;14.75;;4.80;;8.03;11.52;19.55;79.72;46.31;33.41
26;North Carolina;ACC;;29;7;68.9;60.2;8.69;;10.70;;11.87;7.52;19.39;68.42;38.83;29.59
27;Princeton;Ivy;;22;7;71.2;53.0;18.21;;0.50;;10.50;8.20;18.71;73.87;43.93;29.94
28;Vanderbilt;SEC;;21;12;65.7;56.5;9.24;;11.61;;7.55;11.14;18.70;70.79;41.23;29.55
29;Purdue;Big Ten;;25;9;67.9;61.4;6.50;;12.19;;11.23;7.46;18.69;75.33;45.40;29.93
30;Colorado;Pac-12;;25;7;65.0;54.5;10.53;;8.02;;7.08;11.47;18.55;66.32;37.95;28.37
31;Gonzaga;WCC;;27;6;69.2;50.1;19.06;;4.08;;8.69;9.69;18.38;64.38;39.54;24.83
32;South Florida;Big East;;22;11;69.6;60.3;9.24;;8.92;;11.86;6.31;18.16;69.39;41.12;28.27
33;Texas Tech;Big 12;;21;11;65.3;58.8;6.47;;11.38;;8.22;9.63;17.85;74.34;44.99;29.36
34;Iowa;Big Ten;;21;13;67.5;60.3;7.24;;12.70;;11.75;6.04;17.78;72.96;45.17;27.80
35;Ohio State;Big Ten;;18;13;66.4;58.3;8.06;;9.67;;8.81;8.93;17.74;75.23;46.01;29.21
36;Villanova;Big East;;21;11;59.3;52.5;6.81;;10.47;;2.61;14.67;17.28;74.67;45.44;29.23
37;West Virginia;Big 12;;17;14;63.8;60.7;3.06;;13.85;;8.14;8.78;16.92;69.89;42.35;27.55
38;Miami (FL);ACC;;21;11;65.0;59.3;5.78;;10.74;;8.33;8.19;16.52;67.84;41.46;26.37
39;St. John's (NY);Big East;;18;13;61.6;56.9;4.74;;11.60;;5.53;10.81;16.34;71.04;44.47;26.57
40;Kansas;Big 12;;20;14;69.9;65.7;4.18;;14.54;;13.95;1.95;15.90;72.69;47.68;25.01
41;Michigan;Big Ten;;22;11;60.1;55.4;4.70;;11.10;;4.00;11.79;15.79;77.04;50.89;26.15
42;Louisiana State;SEC;;22;12;69.0;61.6;7.41;;10.30;;11.56;3.95;15.51;71.18;46.00;25.18
43;Arkansas;SEC;;20;13;66.3;56.9;9.39;;5.72;;5.54;9.58;15.12;68.02;43.28;24.74
44;San Diego State;MWC;;27;7;40.7;;;;0.95;;6.07;8.82;14.89;;;
45;Florida;SEC;;22;15;70.6;64.1;6.43;;9.10;;12.61;1.90;14.51;70.01;47.45;22.56
46;Central Michigan;MAC;;21;12;74.4;62.8;11.55;;4.97;;15.19;-1.04;14.15;72.79;49.94;22.85
47;Saint Joseph's;A-10;;23;9;64.5;53.9;10.59;;4.80;;6.22;7.89;14.11;67.52;45.16;22.36
48;NC State;ACC;;17;17;68.9;64.5;4.44;;9.55;;10.98;3.01;13.99;73.34;49.97;23.38
49;DePaul;Big East;;21;12;70.8;69.6;1.21;;12.59;;14.67;-0.86;13.80;74.72;52.29;22.42
50;Minnesota;Big Ten;;18;14;69.4;65.5;3.94;;9.83;;12.33;1.43;13.76;75.90;52.91;22.99
51;Illinois;Big Ten;;19;14;68.9;66.2;2.70;;11.05;;12.00;1.75;13.75;66.59;44.52;22.07
52;Toledo;MAC;;29;4;65.6;51.5;14.06;;-0.41;;3.27;10.37;13.65;63.49;40.53;22.96
53;Rutgers;Big East;;16;14;56.0;52.9;3.03;;10.13;;-0.87;14.03;13.16;62.32;40.85;21.47
54;Texas;Big 12;;12;18;61.6;62.2;-0.63;;13.60;;4.82;8.15;12.97;65.10;43.93;21.17
55;Virginia;ACC;;16;14;61.9;60.0;1.87;;10.98;;3.97;8.88;12.84;69.61;47.81;21.80
56;James Madison;CAA;;25;11;68.3;58.6;9.61;;2.57;;8.44;3.74;12.18;71.49;49.67;21.82
57;Duquesne;A-10;;24;8;61.1;52.4;8.66;;3.14;;1.14;10.66;11.80;62.45;41.90;20.55
58;Georgia Tech;ACC;;14;16;67.6;67.3;0.33;;11.36;;9.98;1.71;11.69;67.50;47.94;19.57
59;Auburn;SEC;;19;15;66.1;60.9;5.18;;6.39;;6.71;4.85;11.56;66.26;45.78;20.48
60;Utah;Pac-12;;23;14;59.0;52.6;6.35;;6.52;;-0.08;11.60;11.52;63.88;45.07;18.81
61;Kansas State;Big 12;;19;18;61.2;62.9;-1.76;;13.11;;5.24;6.12;11.36;71.79;52.45;19.34
62;Charlotte;A-10;;26;6;66.4;56.0;10.41;;0.94;;6.56;4.78;11.34;71.57;51.05;20.52
63;Albany (NY);AEC;;27;4;66.9;49.3;17.61;;-6.63;;4.47;6.52;10.98;68.24;48.08;20.16
64;Creighton;MVC;;25;8;65.7;58.8;6.91;;4.03;;3.54;7.40;10.94;70.13;50.30;19.83
65;Drexel;CAA;;28;10;59.8;51.4;8.45;;2.11;;-0.76;11.32;10.56;73.41;52.29;21.12
66;Middle Tennessee;Sun Belt;;25;8;67.1;57.3;9.82;;0.65;;4.37;6.10;10.47;68.95;49.16;19.80
67;Marist;MAAC;;26;7;63.9;52.3;11.58;;-1.46;;1.77;8.35;10.12;69.89;50.61;19.28
68;Pacific;Big West;;27;8;69.0;60.4;8.60;;1.41;;8.56;1.45;10.01;65.29;48.85;16.44
69;Wisconsin;Big Ten;;12;19;58.0;59.5;-1.45;;11.46;;0.72;9.29;10.01;64.67;47.22;17.46
70;Hampton;MEAC;;28;6;64.1;46.6;17.53;;-6.42;;0.51;9.42;9.93;60.41;41.78;18.63
71;San Diego;WCC;;22;10;72.6;50.5;22.09;;3.67;;5.36;4.31;9.67;;;
72;Florida Gulf Coast;A-Sun;;27;7;70.1;52.0;18.09;;-6.07;;4.82;4.72;9.54;70.26;51.15;19.10
73;Missouri;SEC;;17;15;65.6;62.8;2.78;;6.70;;5.65;3.83;9.48;67.10;50.68;16.43
74;Marquette;Big East;;16;16;63.7;66.3;-2.53;;11.84;;7.98;1.33;9.31;70.01;53.14;16.86
75;Brigham Young;WCC;;23;11;64.0;52.9;11.09;;3.06;;3.00;6.20;9.21;57.90;44.82;13.08
76;Northwestern;Big Ten;;13;17;61.4;62.3;-0.97;;10.10;;3.34;5.79;9.13;61.77;45.41;16.36
77;Little Rock;Sun Belt;;24;9;62.9;53.1;9.85;;-1.29;;-1.93;10.48;8.55;60.35;43.44;16.91
78;Boston College;ACC;;12;19;61.9;65.0;-3.06;;11.54;;5.93;2.55;8.47;70.03;54.62;15.42
79;Georgetown;Big East;;15;16;62.6;65.4;-2.77;;11.17;;5.87;2.52;8.39;64.77;49.69;15.09
80;Washington;Pac-12;;21;12;65.3;63.9;1.39;;6.99;;6.88;1.51;8.38;62.07;48.62;13.46
81;Chattanooga;Southern;;29;4;68.5;54.9;13.67;;-5.38;;3.86;4.45;8.31;68.73;52.08;16.65
82;Illinois State;MVC;;24;11;66.7;60.7;6.00;;2.13;;4.61;3.52;8.13;65.68;50.46;15.23
83;Liberty;Big South;;27;7;71.1;52.6;18.50;;-6.01;;4.59;3.53;8.12;63.64;47.82;15.83
84;Arizona State;Pac-12;;13;18;58.9;58.5;0.35;;8.95;;0.69;7.36;8.05;59.69;47.81;11.87
85;Wyoming;MWC;;24;8;70.2;57.8;12.41;;-1.97;;7.27;0.76;8.03;67.25;52.44;14.81
86;Southern California;Pac-12;;11;20;61.5;66.1;-4.65;;12.60;;6.24;1.71;7.95;64.58;49.67;14.92
87;Wichita State;MVC;;24;10;61.1;55.4;5.76;;2.13;;-1.01;8.90;7.89;65.14;49.35;15.79
88;Cal Poly;Big West;;21;11;67.7;61.1;6.59;;2.85;;7.99;-0.11;7.88;61.94;48.38;13.56
89;Quinnipiac;NEC;;30;3;70.5;57.4;13.15;;-5.50;;5.92;1.74;7.65;63.63;50.17;13.46
90;Bowling Green State;MAC;;24;11;62.2;52.7;9.51;;-0.31;;-0.24;7.72;7.48;63.52;49.02;14.49
91;Boston University;AEC;;24;6;61.9;51.8;10.10;;-2.90;;0.61;6.59;7.20;67.33;52.15;15.18
92;TCU;Big 12;;9;21;59.7;65.8;-6.07;;13.13;;3.09;3.97;7.06;63.71;50.05;13.67
93;Saint Mary's (CA);WCC;;23;11;64.3;55.5;8.76;;4.43;;4.47;2.43;6.90;60.16;47.40;12.76
94;Wake Forest;ACC;;13;19;67.6;72.6;-4.94;;11.80;;10.62;-3.75;6.86;70.44;57.54;12.89
95;South Dakota State;Summit;;25;8;66.8;59.7;7.15;;-0.69;;5.16;1.34;6.50;65.22;51.88;13.34
96;Fresno State;MWC;;24;9;68.2;59.7;8.55;;-0.25;;4.64;1.36;6.00;57.20;46.81;10.39
97;Virginia Tech;ACC;;10;20;49.3;56.1;-6.77;;12.73;;-7.40;13.37;5.97;56.46;44.85;11.61
98;Montana;Big Sky;;24;8;64.7;54.0;10.66;;-2.62;;0.13;5.83;5.96;59.40;47.31;12.09
99;Southern Methodist;CUSA;;21;10;68.4;62.0;6.42;;-0.48;;6.72;-0.78;5.94;64.13;51.51;12.61
100;Fordham;A-10;;26;9;58.7;52.4;6.29;;-0.37;;-2.03;7.96;5.92;66.10;52.65;13.45
101;Washington State;Pac-12;;11;20;59.4;64.6;-5.26;;10.94;;2.58;3.10;5.68;58.20;47.57;10.63
102;Old Dominion;CAA;;19;12;65.0;60.2;4.87;;0.16;;4.21;0.82;5.03;62.74;51.53;11.22
103;Oregon State;Pac-12;;10;21;57.3;57.0;0.26;;10.08;;-1.69;6.70;5.01;53.60;44.18;9.42
104;Tennessee-Martin;OVC;;19;15;73.0;68.6;4.35;;0.63;;11.34;-6.36;4.98;73.55;62.33;11.22
105;Tulane;CUSA;;24;9;65.8;57.0;8.85;;-0.02;;3.05;1.87;4.92;61.29;50.59;10.70
106;UTEP;CUSA;;22;10;66.5;58.2;8.34;;-1.60;;3.44;1.28;4.72;59.74;49.54;10.21
107;Richmond;A-10;;16;16;61.7;60.5;1.19;;3.18;;2.91;1.47;4.37;62.79;52.86;9.93
108;Northeastern;CAA;;17;13;67.0;61.9;5.10;;-1.01;;5.75;-1.66;4.09;67.80;57.98;9.82
109;Northern Iowa;MVC;;17;17;63.2;62.4;0.79;;2.96;;2.26;1.50;3.75;67.23;58.17;9.06
110;East Carolina;CUSA;;22;10;65.4;54.8;10.56;;-2.31;;1.21;2.31;3.52;56.01;47.50;8.51
111;Youngstown State;Horizon;;23;10;63.3;56.2;7.09;;-1.28;;-1.15;4.59;3.44;60.27;51.07;9.19
112;Hawaii;Big West;;17;14;59.1;57.7;1.35;;3.73;;-0.41;3.52;3.11;58.30;51.08;7.22
113;Akron;MAC;;23;10;75.4;66.4;9.00;;-3.63;;11.72;-8.66;3.06;68.40;61.24;7.16
