;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;Big East;;33;5;76.4;47.0;29.37;;15.66;;21.81;23.22;45.03;85.94;16.70;69.24
2;Baylor;Big 12;;40;0;78.4;50.9;27.55;;17.17;;24.70;18.77;43.47;83.80;19.79;64.01
3;Notre Dame;Big East;;35;4;78.9;52.9;26.00;;17.00;;24.81;17.13;41.94;84.82;21.38;63.44
4;Stanford;Pac-12;;35;2;76.0;55.3;20.70;;14.53;;20.48;14.76;35.24;82.42;28.21;54.21
5;Duke;ACC;;27;6;75.2;55.9;19.21;;12.94;;18.65;13.50;32.15;77.05;28.29;48.75
6;Tennessee;SEC;;27;9;74.0;60.1;13.86;;17.40;;19.84;11.42;31.26;78.98;30.00;48.98
7;Miami (FL);ACC;;26;6;75.9;55.5;20.44;;10.79;;17.94;10.58;28.52;69.52;27.65;41.86
8;Maryland;ACC;;31;5;77.3;60.9;16.36;;11.83;;20.83;7.36;28.19;79.89;36.21;43.68
9;Texas A&M;Big 12;;24;11;67.8;58.3;9.54;;18.18;;14.41;11.54;25.95;69.22;28.59;40.63
10;Kentucky;SEC;;28;7;74.0;57.7;16.23;;10.07;;16.61;7.91;24.52;65.25;28.07;37.17
11;Penn State;Big Ten;;26;7;75.7;62.5;13.24;;11.03;;19.36;4.92;24.28;71.77;33.93;37.85
12;Georgia Tech;ACC;;26;9;70.9;59.6;11.37;;10.62;;13.02;8.97;21.99;69.42;34.39;35.02
13;West Virginia;Big East;;24;10;63.8;52.0;11.76;;9.80;;6.95;14.61;21.56;65.61;29.87;35.74
14;Oklahoma;Big 12;;21;13;70.8;65.8;5.03;;16.14;;16.34;4.83;21.17;69.88;35.92;33.96
15;California;Pac-12;;25;10;70.0;61.4;8.60;;12.11;;12.76;7.96;20.71;67.46;34.39;33.07
16;Green Bay;Horizon;;31;2;74.3;55.1;19.21;;1.43;;13.06;7.58;20.64;69.27;35.08;34.18
17;Delaware;CAA;;31;2;71.6;55.0;16.58;;3.87;;10.35;10.10;20.44;73.45;37.95;35.49
18;Ohio State;Big Ten;;25;7;74.8;62.8;11.94;;8.33;;16.13;4.14;20.27;74.61;40.94;33.68
19;Rutgers;Big East;;22;10;60.9;55.4;5.47;;14.73;;6.44;13.77;20.20;64.65;31.04;33.62
20;Texas Tech;Big 12;;21;14;67.0;56.3;10.71;;12.60;;10.14;9.83;19.97;60.76;29.41;31.35
21;South Carolina;SEC;;25;10;61.2;50.3;10.91;;9.76;;4.06;15.50;19.56;60.65;27.20;33.45
22;Kansas;Big 12;;21;13;68.6;63.4;5.26;;14.02;;12.82;6.47;19.29;67.41;36.40;31.01
23;Vanderbilt;SEC;;23;10;71.8;61.5;10.30;;8.85;;13.52;5.63;19.16;70.52;37.78;32.74
24;Louisville;Big East;;23;10;68.8;61.0;7.85;;11.23;;11.46;7.62;19.07;67.70;35.94;31.76
25;DePaul;Big East;;23;11;72.0;65.8;6.26;;12.76;;16.53;2.49;19.02;69.71;38.78;30.92
26;Georgetown;Big East;;23;9;60.4;52.8;7.56;;11.55;;4.20;14.81;19.00;61.19;29.44;31.75
27;St. John's (NY);Big East;;24;10;61.5;56.4;5.12;;13.87;;6.42;12.57;18.98;65.35;32.57;32.78
28;Iowa State;Big 12;;18;13;62.7;57.3;5.45;;13.50;;6.21;12.74;18.96;65.88;34.71;31.17
29;Gonzaga;WCC;;28;6;75.1;59.5;15.65;;6.18;;14.83;4.00;18.82;65.68;38.90;26.78
30;Georgia;SEC;;22;9;68.5;58.0;10.48;;8.32;;10.71;8.09;18.80;66.82;35.46;31.36
31;Texas;Big 12;;18;14;67.3;62.8;4.59;;14.15;;12.00;6.75;18.74;63.25;32.52;30.73
32;Oklahoma State;Big 12;;22;12;66.2;57.5;8.71;;11.59;;9.94;8.68;18.62;62.98;32.85;30.13
33;Princeton;Ivy;;24;5;72.0;53.3;18.72;;-0.12;;10.37;8.24;18.60;66.24;35.38;30.87
34;Florida;SEC;;20;13;67.5;60.8;6.76;;11.66;;11.08;7.33;18.41;65.91;34.47;31.43
35;Virginia;ACC;;25;11;63.4;54.1;9.25;;8.96;;4.60;13.61;18.21;63.29;32.06;31.23
36;Nebraska;Big Ten;;24;9;71.4;60.3;11.12;;8.38;;11.55;6.44;17.98;59.11;30.67;28.45
37;Arkansas;SEC;;24;9;62.1;52.3;9.76;;8.05;;4.06;13.90;17.97;58.86;27.83;31.03
38;Brigham Young;WCC;;26;7;71.1;51.5;19.58;;4.84;;9.01;8.61;17.62;54.94;31.72;23.22
39;Purdue;Big Ten;;25;9;65.8;59.2;6.59;;10.98;;7.74;9.83;17.56;61.75;31.79;29.96
40;Louisiana State;SEC;;23;11;62.2;52.9;9.32;;9.41;;4.57;12.90;17.47;56.91;28.71;28.20
41;Kansas State;Big 12;;20;14;57.1;57.4;-0.24;;17.52;;2.28;15.01;17.29;60.21;31.76;28.45
42;North Carolina;ACC;;20;11;69.4;59.2;10.16;;6.87;;10.34;6.01;16.35;55.55;30.74;24.81
43;Florida State;ACC;;14;17;67.3;63.5;3.81;;12.02;;9.86;5.96;15.83;65.47;38.66;26.81
44;Southern California;Pac-12;;18;12;64.0;60.7;3.27;;12.45;;8.03;7.69;15.72;60.61;34.61;26.00
45;Iowa;Big Ten;;19;12;71.4;65.9;5.48;;10.17;;13.71;1.94;15.65;68.34;41.50;26.84
46;Michigan State;Big Ten;;20;12;67.0;59.9;7.13;;8.52;;7.72;7.92;15.65;65.41;38.49;26.93
47;Michigan;Big Ten;;20;12;63.4;58.9;4.50;;10.93;;5.20;10.23;15.43;64.49;37.34;27.14
48;Dayton;A-10;;23;7;70.1;60.1;10.07;;5.34;;11.38;4.04;15.41;63.15;37.42;25.73
49;Syracuse;Big East;;22;15;68.6;62.0;6.59;;8.48;;11.70;3.37;15.07;67.03;41.11;25.92
50;Temple;A-10;;23;10;65.7;56.8;8.85;;6.16;;6.46;8.54;15.00;65.54;38.74;26.80
51;Arizona State;Pac-12;;20;12;57.8;53.3;4.59;;10.22;;0.18;14.63;14.81;54.25;29.52;24.74
52;Wake Forest;ACC;;20;14;69.2;63.5;5.74;;8.80;;11.00;3.54;14.53;61.45;36.79;24.66
53;Oregon State;Pac-12;;20;13;64.9;55.6;9.30;;8.95;;5.16;8.05;13.21;55.37;34.71;20.67
54;Minnesota;Big Ten;;19;17;67.3;62.3;5.00;;8.08;;7.85;5.23;13.08;62.67;39.07;23.60
55;UCLA;Pac-12;;14;16;62.1;60.8;1.30;;13.57;;6.50;6.41;12.90;55.87;34.65;21.23
56;St. Bonaventure;A-10;;31;4;63.9;54.4;9.43;;3.40;;3.27;9.56;12.83;67.20;42.11;25.09
57;Villanova;Big East;;19;15;57.7;54.1;3.62;;11.28;;1.26;11.41;12.67;62.04;39.24;22.80
58;San Diego;WCC;;26;9;59.7;48.2;11.51;;2.78;;3.00;9.58;12.57;;;
59;Washington;Pac-12;;20;14;63.3;57.8;5.44;;8.50;;5.07;7.16;12.23;54.11;33.37;20.74
60;NC State;ACC;;19;16;67.8;65.0;2.86;;10.05;;9.72;2.42;12.14;61.99;39.36;22.63
61;South Florida;Big East;;19;16;63.6;60.6;2.94;;8.74;;6.58;5.10;11.69;58.41;36.07;22.34
62;Hampton;MEAC;;26;5;65.2;46.3;18.87;;-6.13;;0.00;11.45;11.45;52.35;29.23;23.12
63;Washington State;Pac-12;;13;20;60.3;61.1;-0.82;;12.00;;3.42;7.77;11.18;52.94;34.23;18.72
64;Utah;Pac-12;;16;16;58.4;55.8;2.69;;8.43;;0.65;10.47;11.12;59.01;38.82;20.19
65;Fresno State;WAC;;28;6;74.9;62.2;12.74;;-1.67;;9.71;1.35;11.07;61.53;41.78;19.75
66;Duquesne;A-10;;20;12;67.6;59.1;8.50;;2.03;;6.32;4.22;10.53;62.46;42.82;19.65
67;Missouri;Big 12;;13;18;61.1;63.8;-2.74;;13.07;;4.70;5.63;10.33;60.18;40.94;19.24
68;James Madison;CAA;;29;8;64.3;56.9;7.32;;2.94;;3.38;6.89;10.26;56.37;36.54;19.83
69;Florida Gulf Coast;A-Sun;;29;3;74.4;52.4;22.03;;-9.27;;6.03;4.03;10.06;62.30;40.74;21.56
70;Colorado;Pac-12;;21;14;60.7;58.4;2.31;;7.74;;2.68;7.37;10.05;56.45;37.56;18.89
71;Richmond;A-10;;23;9;67.7;60.1;7.59;;2.59;;7.15;2.86;10.01;63.73;44.19;19.54
72;UTEP;CUSA;;29;4;67.5;54.2;13.36;;-3.59;;5.94;3.84;9.77;55.61;35.61;20.00
73;Drexel;CAA;;19;14;59.4;54.3;5.15;;4.24;;-1.91;11.30;9.39;61.29;40.60;20.69
74;Auburn;SEC;;13;17;58.5;58.0;0.47;;8.91;;0.81;8.57;9.38;54.55;35.53;19.03
75;Eastern Michigan;MAC;;23;9;68.6;56.8;11.75;;0.63;;4.72;4.62;9.34;56.80;38.90;17.90
76;Missouri State;MVC;;24;9;72.8;65.8;7.00;;2.29;;11.07;-1.79;9.29;60.35;42.47;17.89
77;Cincinnati;Big East;;16;16;57.1;55.4;1.66;;9.23;;-0.11;9.14;9.03;59.37;41.31;18.06
78;Middle Tennessee;Sun Belt;;26;7;66.2;57.3;8.91;;-0.02;;4.36;4.53;8.89;58.80;39.75;19.05
