;;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;AP Rank;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
204;Utah Tech;WAC;;;18;14;73.2;68.3;4.88;;-5.33;;1.75;-6.28;-4.53;93.11;99.66;-6.56
205;Mercer;Southern;;;15;17;64.8;64.3;0.44;;-5.01;;-0.90;-3.67;-4.57;89.45;95.64;-6.19
206;Idaho State;Big Sky;;;11;19;59.5;61.7;-2.20;;-0.98;;-6.30;1.70;-4.60;84.70;91.36;-6.66
207;Delaware;CAA;;;11;20;67.4;66.5;0.97;;-5.57;;1.30;-5.91;-4.61;87.20;94.20;-7.00
208;Milwaukee;Horizon;;;16;16;66.2;62.7;3.50;;-5.58;;-4.03;-0.58;-4.61;90.45;96.69;-6.24
209;Arkansas-Pine Bluff;SWAC;;;17;16;73.0;67.8;5.21;;-5.84;;2.96;-7.61;-4.65;88.72;95.57;-6.85
210;UC Santa Barbara;Big West;;;16;15;64.9;62.7;2.23;;-3.93;;-2.97;-1.86;-4.83;89.91;97.16;-7.26
211;Texas State;Sun Belt;;;14;18;64.9;63.5;1.41;;-3.75;;-5.05;0.14;-4.91;88.01;94.88;-6.87
212;Holy Cross;Patriot;;;20;12;62.6;56.2;6.41;;-10.30;;-6.49;1.48;-5.01;86.88;94.08;-7.20
213;Niagara;MAAC;;;20;13;70.5;69.7;0.76;;-5.85;;3.69;-8.78;-5.09;83.87;91.59;-7.73
214;East Tennessee State;Southern;;;18;12;59.4;55.6;3.80;;-7.69;;-8.88;3.58;-5.29;86.23;93.11;-6.89
215;Siena;MAAC;;;18;12;68.4;63.9;4.50;;-9.83;;0.81;-6.14;-5.33;88.25;96.30;-8.05
216;Lipscomb;A-Sun;;;17;13;67.9;66.1;1.80;;-4.62;;-1.05;-4.32;-5.37;88.13;95.23;-7.11
217;UTEP;CUSA;;;12;19;67.0;71.5;-4.48;;0.18;;1.96;-7.44;-5.48;93.04;100.51;-7.46
218;Campbell;CAA;;;17;14;60.8;55.1;5.71;;-6.85;;-9.39;3.75;-5.64;86.20;94.12;-7.92
219;Tennessee-Martin;OVC;;;16;16;63.8;62.9;0.88;;-5.65;;-5.57;-0.08;-5.65;90.09;97.91;-7.82
220;UC San Diego;Big West;;;12;19;58.4;58.1;0.35;;-2.23;;-9.43;3.78;-5.65;81.68;90.28;-8.59
221;Coastal Carolina;Sun Belt;;;12;21;66.6;71.4;-4.79;;-0.30;;-0.16;-5.82;-5.98;87.52;95.96;-8.43
222;Georgia Southern;Sun Belt;;;15;18;72.3;70.4;1.88;;-4.72;;1.54;-7.55;-6.01;84.25;93.47;-9.23
223;UNC Greensboro;Southern;;;21;11;63.8;56.2;7.66;;-8.05;;-6.30;0.29;-6.01;88.26;96.01;-7.75
224;Tennessee Tech;OVC;;;16;15;69.9;66.9;3.03;;-6.48;;-0.07;-6.20;-6.27;89.97;99.00;-9.03
225;Southern;SWAC;;;15;15;60.6;62.5;-1.83;;-2.96;;-6.69;-0.09;-6.79;82.54;91.94;-9.40
226;Sacred Heart;NEC;;;24;9;66.7;56.6;10.03;;-15.45;;-3.65;-3.16;-6.81;87.12;97.37;-10.25
227;Colgate;Patriot;;;18;13;62.2;56.1;6.16;;-10.80;;-7.26;0.33;-6.93;87.85;97.67;-9.82
228;Northern Kentucky;Horizon;;;11;20;68.3;73.4;-5.10;;-1.57;;1.53;-8.50;-6.97;91.85;101.68;-9.83
229;Incarnate Word;Southland;;;19;11;62.5;57.4;5.07;;-8.43;;-8.25;1.01;-7.24;86.54;95.38;-8.84
230;Little Rock;OVC;;;12;18;55.6;60.7;-5.03;;-2.37;;-11.73;4.33;-7.40;80.68;91.45;-10.77
231;Howard;MEAC;;;15;16;58.9;57.7;1.26;;-8.70;;-8.15;0.71;-7.44;79.47;89.77;-10.30
232;Youngstown State;Horizon;;;14;18;60.6;62.7;-2.09;;-3.98;;-7.68;0.05;-7.63;83.78;94.15;-10.37
233;Grambling;SWAC;;;22;9;71.1;62.0;9.10;;-8.76;;-2.53;-5.23;-7.76;82.47;91.84;-9.38
234;St. Thomas;Summit;;;15;16;67.8;71.2;-3.32;;-1.72;;-1.38;-6.38;-7.76;88.31;98.82;-10.51
235;Dayton;A-10;;;12;19;63.5;68.9;-5.42;;0.58;;-3.02;-5.17;-8.18;87.50;98.64;-11.14
236;Western Michigan;MAC;;;12;18;62.2;65.7;-3.50;;-4.28;;-4.85;-3.50;-8.35;87.49;99.25;-11.76
237;Yale;Ivy;;;8;19;60.7;68.4;-7.70;;-0.77;;-3.92;-4.55;-8.47;87.15;99.93;-12.78
238;Binghamton;AEC;;;14;17;61.9;60.3;1.65;;-9.35;;-5.58;-2.94;-8.52;88.10;100.58;-12.48
239;Cal State Fullerton;Big West;;;10;21;59.0;65.4;-6.42;;-2.12;;-5.51;-3.02;-8.53;85.55;97.99;-12.43
240;Maryland-Eastern Shore;MEAC;;;15;15;62.2;59.3;2.90;;-8.85;;-6.92;-1.75;-8.67;83.34;95.91;-12.57
241;Western Illinois;OVC;;;18;12;74.3;66.5;7.83;;-10.44;;-0.09;-8.70;-8.79;86.43;98.44;-12.01
242;Detroit Mercy;Horizon;;;17;16;60.2;63.5;-3.21;;-5.71;;-8.66;-0.26;-8.92;81.26;93.32;-12.06
243;Morehead State;OVC;;;15;15;66.3;65.6;0.70;;-5.62;;-4.17;-4.79;-8.95;83.72;96.47;-12.74
244;Stetson;A-Sun;;;17;14;58.1;58.8;-0.65;;-6.23;;-11.22;2.27;-8.95;79.49;92.07;-12.58
245;Indiana State;MVC;;;11;21;64.2;71.7;-7.53;;-1.25;;-4.16;-4.80;-8.96;85.74;97.49;-11.75
246;Jacksonville State;CUSA;;;12;17;59.0;63.1;-4.10;;-2.25;;-8.64;-0.46;-9.10;79.50;92.52;-13.02
247;Akron;MAC;;;11;18;62.3;66.1;-3.79;;-5.33;;-5.69;-3.43;-9.12;85.06;98.22;-13.16
248;Oakland;Horizon;;;12;17;71.4;72.9;-1.52;;-2.32;;1.59;-10.84;-9.25;88.17;101.07;-12.90
249;Boston University;Patriot;;;20;12;62.6;61.6;1.03;;-9.31;;-5.50;-3.81;-9.31;85.97;99.48;-13.51
250;Denver;Summit;;;8;22;64.4;69.7;-5.30;;-3.09;;-4.06;-5.27;-9.33;89.02;102.37;-13.36
251;Lehigh;Patriot;;;17;13;68.8;65.4;3.40;;-11.72;;-0.06;-9.38;-9.44;87.35;101.97;-14.62
252;Northern Illinois;MAC;;;15;16;64.4;65.6;-1.19;;-6.03;;-4.83;-4.64;-9.46;83.35;96.42;-13.06
253;Jacksonville;A-Sun;;;11;20;65.3;70.6;-5.29;;-2.67;;-3.05;-6.52;-9.57;85.05;97.28;-12.23
254;Eastern Illinois;OVC;;;15;18;65.7;67.8;-2.12;;-7.70;;-3.88;-5.95;-9.83;84.37;97.98;-13.61
255;Bethune-Cookman;SWAC;;;15;16;66.4;60.8;5.55;;-9.64;;-6.22;-3.96;-10.18;80.14;93.81;-13.66
256;Samford;Southern;;;14;16;58.1;60.8;-2.73;;-4.58;;-10.98;0.51;-10.47;79.71;94.98;-15.26
257;Kennesaw State;A-Sun;;;11;19;58.9;64.2;-5.33;;-2.14;;-7.55;-2.95;-10.49;81.71;96.34;-14.63
258;Manhattan;MAAC;;;18;12;57.2;56.7;0.50;;-11.12;;-11.14;0.53;-10.62;81.86;96.95;-15.10
259;Kansas City;Summit;;;12;20;64.5;66.0;-1.47;;-4.67;;-8.31;-2.39;-10.70;80.37;95.08;-14.71
260;San Jose State;MWC;;;7;24;60.3;66.2;-5.87;;-1.56;;-6.72;-4.04;-10.76;84.59;100.23;-15.64
261;Coppin State;MEAC;;;12;18;55.3;59.8;-4.53;;-6.35;;-11.55;0.67;-10.88;79.05;94.98;-15.93
262;Cornell;Ivy;;;7;19;56.0;67.4;-11.42;;0.21;;-7.74;-3.47;-11.21;80.08;96.33;-16.25
263;Ohio;MAC;;;11;19;63.8;71.5;-7.67;;-3.55;;-3.34;-7.88;-11.22;81.19;96.24;-15.05
264;Weber State;Big Sky;;;8;25;57.0;66.6;-9.61;;-1.01;;-7.77;-3.59;-11.36;82.75;99.37;-16.62
265;Canisius;MAAC;;;17;14;60.6;61.8;-1.13;;-10.15;;-7.75;-3.84;-11.59;84.32;100.77;-16.45
266;Sacramento State;Big Sky;;;6;25;56.7;66.9;-10.16;;-1.48;;-8.59;-3.05;-11.64;81.96;99.13;-17.17
267;Alabama A&M;SWAC;;;15;16;61.7;61.9;-0.13;;-10.68;;-9.18;-2.64;-11.82;80.66;96.84;-16.18
268;Southern Utah;WAC;;;8;22;65.7;73.6;-7.87;;-3.27;;-3.24;-8.66;-11.89;88.69;104.98;-16.28
269;Nicholls State;Southland;;;14;18;62.9;63.2;-0.25;;-8.53;;-7.46;-4.49;-11.94;82.01;98.28;-16.28
270;Loyola (MD);Patriot;;;16;15;59.0;61.3;-2.26;;-9.72;;-9.15;-2.83;-11.98;84.72;102.62;-17.90
271;Massachusetts;A-10;;;5;27;58.0;71.2;-13.13;;1.12;;-5.24;-6.77;-12.01;83.31;100.15;-16.83
272;Furman;Southern;;;15;16;66.2;64.1;2.10;;-8.41;;-5.70;-6.36;-12.06;83.43;99.98;-16.55
273;North Alabama;A-Sun;;;12;18;68.0;72.5;-4.50;;-4.49;;-0.45;-11.65;-12.10;85.62;101.85;-16.23
274;Tarleton State;WAC;;;11;20;61.4;65.4;-4.06;;-5.70;;-9.59;-2.58;-12.16;81.54;97.85;-16.31
275;Texas A&M-Commerce;Southland;;;15;16;68.9;72.5;-3.58;;-5.62;;1.46;-13.63;-12.17;85.85;101.62;-15.77
276;High Point;Big South;;;20;11;62.8;63.4;-0.55;;-9.51;;-5.79;-6.49;-12.27;83.40;100.24;-16.84
277;Bucknell;Patriot;;;13;18;55.9;61.2;-5.29;;-7.14;;-11.40;-1.03;-12.43;79.76;98.21;-18.45
278;Northwestern State;Southland;;;11;19;58.4;61.6;-3.20;;-5.28;;-12.17;-0.39;-12.57;77.64;94.56;-16.92
279;IUPUI;Horizon;;;7;23;64.5;75.1;-10.63;;-2.10;;-1.77;-10.97;-12.73;83.36;100.09;-16.73
280;La Salle;A-10;;;8;22;57.6;70.8;-13.17;;0.39;;-6.11;-6.66;-12.78;81.20;99.63;-18.44
281;New Orleans;Southland;;;11;19;62.2;68.3;-6.17;;-6.63;;-4.94;-7.86;-12.80;78.20;95.03;-16.83
282;Utah Valley;WAC;;;10;19;59.8;65.5;-5.66;;-5.76;;-10.13;-2.70;-12.83;76.98;94.68;-17.70
283;Omaha;Summit;;;8;23;72.3;81.2;-8.84;;-1.61;;3.57;-16.42;-12.85;90.79;107.59;-16.80
284;Sam Houston;CUSA;;;7;22;66.2;72.3;-6.10;;-2.10;;-2.13;-10.82;-12.96;81.55;98.52;-16.97
285;Bryant;AEC;;;15;15;60.6;61.0;-0.43;;-8.91;;-8.56;-4.50;-13.06;80.96;99.80;-18.84
286;Xavier;Big East;;;1;27;50.7;72.6;-21.93;;8.69;;-8.91;-4.33;-13.24;80.03;100.06;-20.03
287;Cal State Bakersfield;Big West;;;8;21;58.7;67.0;-8.28;;-4.41;;-6.93;-6.34;-13.26;83.88;102.87;-19.00
288;Miami (OH);MAC;;;9;20;53.9;63.8;-9.83;;-3.48;;-13.40;0.09;-13.31;76.49;95.80;-19.31
289;St. Bonaventure;A-10;;;4;26;54.7;66.5;-11.83;;-1.50;;-9.90;-3.43;-13.34;79.69;98.70;-19.01
290;Le Moyne;NEC;;;18;14;57.0;60.3;-3.22;;-10.26;;-11.65;-1.83;-13.48;79.75;98.74;-18.99
291;Southeast Missouri State;OVC;;;9;20;62.1;66.7;-4.62;;-6.31;;-9.04;-4.45;-13.50;78.60;97.33;-18.73
292;North Florida;A-Sun;;;9;21;63.5;68.2;-4.63;;-3.66;;-6.34;-7.21;-13.55;82.91;101.69;-18.78
293;Elon;CAA;;;11;21;53.1;61.3;-8.28;;-4.50;;-13.65;0.09;-13.57;74.28;94.02;-19.74
294;Quinnipiac;MAAC;;;13;18;59.3;64.6;-5.29;;-8.30;;-7.95;-5.64;-13.59;82.27;101.76;-19.49
295;North Dakota;Summit;;;9;21;66.9;76.6;-9.70;;-0.78;;-1.46;-12.14;-13.60;84.18;101.85;-17.67
296;Valparaiso;MVC;;;5;25;61.8;72.8;-11.00;;-2.62;;-6.60;-7.02;-13.62;83.33;101.44;-18.11
297;Mount St. Mary's;MAAC;;;14;17;54.5;58.5;-4.00;;-10.03;;-13.79;-0.24;-14.03;75.46;95.59;-20.13
298;Hofstra;CAA;;;11;21;56.6;58.9;-2.31;;-9.02;;-13.01;-1.26;-14.27;76.35;97.11;-20.76
299;Texas-Rio Grande Valley;WAC;;;6;23;59.6;71.0;-11.41;;-2.87;;-8.75;-5.54;-14.29;79.82;99.53;-19.71
300;Seattle;WAC;;;6;23;63.6;75.2;-11.59;;-2.77;;-3.44;-10.92;-14.36;84.48;104.03;-19.55
301;New Hampshire;AEC;;;9;20;54.1;58.8;-4.66;;-8.52;;-13.12;-1.43;-14.55;76.23;97.55;-21.33
302;American;Patriot;;;10;20;60.8;66.0;-5.23;;-9.41;;-7.25;-7.39;-14.64;79.57;100.77;-21.19
303;Tennessee State;OVC;;;11;19;62.1;68.1;-6.07;;-7.72;;-7.54;-7.14;-14.69;77.62;97.86;-20.24
304;South Alabama;Sun Belt;;;9;23;60.7;71.5;-10.81;;-1.73;;-7.80;-7.09;-14.89;79.58;100.18;-20.60
305;Northeastern;CAA;;;10;17;57.5;64.6;-7.11;;-7.86;;-10.10;-4.87;-14.97;82.08;104.32;-22.24
306;Portland State;Big Sky;;;8;23;56.3;67.6;-11.29;;-2.34;;-9.79;-5.34;-15.13;82.85;105.91;-23.07
307;Bellarmine;A-Sun;;;10;19;67.2;75.0;-7.83;;-4.04;;-2.49;-12.77;-15.26;84.05;103.59;-19.54
308;Maryland-Baltimore County;AEC;;;10;19;58.4;63.0;-4.59;;-8.74;;-10.02;-5.28;-15.30;77.91;99.95;-22.04
309;NJIT;AEC;;;12;18;57.4;62.5;-5.03;;-10.37;;-9.35;-6.06;-15.40;76.93;99.04;-22.11
310;Pepperdine;WCC;;;5;25;54.2;70.1;-15.90;;3.05;;-11.90;-3.69;-15.59;76.49;99.46;-22.97
311;Navy;Patriot;;;14;17;61.8;63.7;-1.90;;-10.25;;-8.35;-7.25;-15.60;77.50;99.24;-21.74
312;Army;Patriot;;;12;17;59.2;62.3;-3.07;;-10.12;;-9.84;-5.80;-15.64;80.07;102.58;-22.50
313;Alcorn State;SWAC;;;12;20;54.1;63.0;-8.88;;-5.57;;-14.90;-0.89;-15.79;76.07;96.89;-20.82
314;Eastern Michigan;MAC;;;7;22;57.3;67.5;-10.24;;-4.41;;-11.26;-4.65;-15.91;76.17;98.78;-22.61
315;Radford;Big South;;;15;18;57.5;61.4;-3.94;;-11.14;;-12.86;-3.10;-15.95;76.20;97.97;-21.77
316;Iona;MAAC;;;11;19;57.6;63.2;-5.60;;-10.51;;-10.53;-5.58;-16.11;81.29;104.43;-23.15
317;Presbyterian;Big South;;;20;14;58.4;58.5;-0.12;;-12.85;;-14.09;-2.08;-16.17;77.78;99.54;-21.77
318;Florida A&M;SWAC;;;9;21;59.8;70.0;-10.20;;-6.01;;-7.69;-8.52;-16.21;79.60;101.67;-22.07
319;Central Michigan;MAC;;;6;22;61.5;71.7;-10.18;;-4.84;;-6.89;-9.35;-16.24;78.07;99.68;-21.61
320;Dartmouth;Ivy;;;7;19;48.5;58.4;-9.92;;-3.10;;-18.84;2.24;-16.60;71.68;97.58;-25.90
321;Bradley;MVC;;;6;26;60.2;75.3;-15.09;;-1.01;;-8.14;-8.64;-16.78;81.95;105.51;-23.56
322;Lindenwood;OVC;;;7;21;64.8;72.1;-7.29;;-7.66;;-5.56;-11.32;-16.88;84.75;108.16;-23.42
323;South Carolina Upstate;Big South;;;16;15;58.8;60.9;-2.06;;-14.10;;-12.06;-5.11;-17.17;75.66;98.42;-22.75
324;Charleston Southern;Big South;;;11;19;61.0;66.6;-5.57;;-11.17;;-8.81;-8.57;-17.38;77.10;100.39;-23.29
325;Cal State Northridge;Big West;;;3;27;55.2;69.6;-14.47;;-2.61;;-9.74;-7.70;-17.44;73.72;97.92;-24.20
326;Lafayette;Patriot;;;10;20;55.9;63.6;-7.77;;-9.72;;-12.41;-5.08;-17.48;78.69;104.98;-26.30
327;SIU Edwardsville;OVC;;;5;26;68.1;77.0;-8.97;;-5.96;;-1.29;-16.20;-17.49;85.21;108.76;-23.55
328;FDU;NEC;;;14;17;58.4;61.0;-2.58;;-13.24;;-12.48;-5.03;-17.51;79.08;104.74;-25.66
329;Robert Morris;Horizon;;;6;24;55.3;66.4;-11.03;;-3.65;;-13.45;-4.20;-17.65;74.80;100.15;-25.35
330;Morgan State;MEAC;;;8;22;53.6;62.7;-9.13;;-6.71;;-13.68;-4.43;-18.11;72.48;97.89;-25.41
331;Marist;MAAC;;;6;25;55.5;63.9;-8.39;;-9.74;;-12.32;-5.81;-18.13;72.52;98.69;-26.17
332;Massachusetts-Lowell;AEC;;;4;25;51.9;63.6;-11.69;;-6.58;;-13.52;-4.75;-18.27;73.16;99.95;-26.78
333;Prairie View;SWAC;;;11;17;63.1;67.9;-4.79;;-6.06;;-9.07;-9.24;-18.30;77.73;102.40;-24.68
334;North Carolina Central;MEAC;;;16;15;65.7;65.9;-0.13;;-10.71;;-6.16;-12.22;-18.39;72.76;97.14;-24.38
335;Merrimack;NEC;;;12;19;59.3;62.5;-3.29;;-15.15;;-11.09;-7.35;-18.44;74.84;101.70;-26.87
336;Rider;MAAC;;;10;21;54.9;64.6;-9.71;;-9.34;;-13.39;-5.66;-19.05;76.31;104.18;-27.87
337;Winthrop;Big South;;;14;16;56.8;60.2;-3.47;;-12.61;;-15.79;-3.37;-19.16;72.49;99.26;-26.77
338;Evansville;MVC;;;4;28;62.8;81.1;-18.25;;-1.13;;-5.63;-13.75;-19.38;77.39;102.39;-25.00
339;Hampton;CAA;;;3;26;54.5;68.2;-13.72;;-5.83;;-11.37;-8.18;-19.56;72.61;99.43;-26.83
340;UNC Asheville;Big South;;;11;20;59.5;60.5;-1.00;;-15.60;;-13.64;-6.24;-19.88;74.28;101.76;-27.49
341;Utah State;MWC;;;5;25;56.2;74.0;-17.77;;-0.51;;-7.82;-12.09;-19.91;79.48;107.50;-28.02
342;Central Connecticut State;NEC;;;9;21;57.9;66.1;-8.27;;-13.00;;-11.56;-9.71;-21.27;75.43;105.76;-30.34
343;Texas Southern;SWAC;;;6;22;58.5;72.4;-13.86;;-5.58;;-11.79;-9.72;-21.51;73.41;101.57;-28.16
344;Longwood;Big South;;;9;21;61.0;68.7;-7.67;;-10.81;;-11.11;-10.78;-21.88;73.70;103.20;-29.49
345;Houston Christian;Southland;;;6;23;53.7;65.0;-11.38;;-4.03;;-16.83;-5.12;-21.95;70.80;101.82;-31.02
346;Queens (NC);A-Sun;;;7;22;62.0;70.4;-8.45;;-7.96;;-9.66;-12.76;-22.42;73.94;104.43;-30.49
347;Saint Peter's;MAAC;;;7;23;50.6;62.4;-11.87;;-10.59;;-18.63;-3.83;-22.46;67.62;100.06;-32.44
348;Western Carolina;Southern;;;6;24;56.8;66.4;-9.57;;-7.17;;-12.66;-10.04;-22.69;75.87;108.13;-32.26
349;Gardner-Webb;Big South;;;6;24;62.3;76.7;-14.43;;-9.48;;-5.78;-18.14;-23.91;79.67;111.35;-31.68
350;Mississippi Valley State;SWAC;;;4;27;55.5;77.1;-21.65;;-2.29;;-11.06;-12.87;-23.93;72.20;102.65;-30.46
351;Delaware State;MEAC;;;8;20;57.5;70.8;-13.25;;-6.48;;-12.45;-12.41;-24.86;75.03;109.88;-34.85
352;UNC Wilmington;CAA;;;5;25;54.5;72.8;-18.27;;-5.26;;-12.50;-12.90;-25.39;71.32;106.01;-34.70
353;Long Island University;NEC;;;8;22;58.2;67.8;-9.60;;-16.87;;-13.37;-13.10;-26.47;72.29;110.06;-37.78
354;McNeese State;Southland;;;6;25;65.2;78.4;-13.23;;-5.02;;-6.03;-20.84;-26.87;78.61;112.85;-34.24
355;Alabama State;SWAC;;;3;26;49.3;73.4;-24.03;;-3.25;;-17.55;-9.73;-27.28;68.79;104.66;-35.87
356;Wagner;NEC;;;7;21;55.3;67.0;-11.75;;-16.11;;-17.04;-12.47;-29.52;65.93;108.04;-42.12
357;South Carolina State;MEAC;;;2;28;48.3;69.1;-20.77;;-8.83;;-19.63;-9.96;-29.59;66.84;109.64;-42.80
358;Stonehill;NEC;;;4;26;52.2;69.0;-16.77;;-13.15;;-18.18;-11.73;-29.92;66.89;109.36;-42.48
359;Chicago State;Ind;;;1;26;59.0;83.0;-24.04;;-3.58;;-9.26;-21.90;-31.16;71.45;111.32;-39.86
360;Saint Francis (PA);NEC;;;5;25;51.5;69.9;-18.40;;-13.62;;-18.73;-13.29;-32.02;68.45;114.69;-46.24
