;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;Big East;;31;4;75.5;53.8;21.66;;6.12;;9.36;13.93;23.29;477.88;-357.67;835.55
2;UC Santa Barbara;Big West;;27;7;69.6;56.8;12.79;;9.81;;6.32;11.82;18.14;525.76;-296.93;822.69
3;Minnesota;Big Ten;;25;9;71.5;59.7;11.85;;7.95;;10.57;5.59;16.15;535.50;-352.24;887.74
4;Tennessee;SEC;;31;4;74.4;62.5;11.86;;8.57;;7.46;7.78;15.24;472.50;-287.48;759.99
5;Houston;CUSA;;28;4;67.9;59.2;8.66;;7.53;;-1.74;14.78;13.03;445.45;-361.09;806.54
6;Louisiana State;SEC;;27;8;73.2;62.2;11.03;;3.13;;-5.68;18.41;12.73;430.81;-285.05;715.86
7;Stanford;Pac-10;;27;7;70.4;58.4;11.94;;0.13;;3.15;9.23;12.38;455.41;-278.54;733.95
8;Baylor;Big 12;;26;9;74.1;60.5;13.57;;4.34;;11.68;0.66;12.34;442.91;-299.11;742.02
9;Georgia;SEC;;25;10;73.9;62.6;11.26;;2.05;;12.64;-0.84;11.80;462.17;-250.42;712.59
10;Vanderbilt;SEC;;26;8;70.5;60.2;10.32;;-4.13;;-0.12;10.99;10.87;430.31;-286.86;717.17
11;Purdue;Big Ten;;29;4;69.8;58.6;11.21;;-2.78;;-2.34;11.22;8.88;403.71;-302.85;706.56
12;Duke;ACC;;30;4;81.9;57.4;24.53;;-9.07;;12.24;-4.30;7.94;577.93;-370.06;948.00
13;Penn State;Big Ten;;28;6;69.8;57.4;12.41;;-2.80;;-1.93;8.88;6.95;556.22;-242.17;798.39
14;UCLA;Pac-10;;17;13;67.1;63.8;3.23;;14.62;;20.09;-16.47;3.62;511.39;-361.37;872.76
15;Loyola Marymount;WCC;;24;6;61.2;57.2;3.97;;13.13;;-3.86;5.99;2.13;460.76;-276.39;737.15
16;Boston College;Big East;;27;7;70.1;58.0;12.15;;0.28;;1.57;0.04;1.61;527.10;-355.98;883.08
17;Eastern Michigan;MAC;;22;8;69.6;59.0;10.67;;3.23;;-8.82;10.06;1.23;523.69;-357.31;881.00
18;Marquette;CUSA;;22;10;65.2;58.3;6.88;;3.92;;-2.01;2.93;0.92;528.26;-405.50;933.76
19;Notre Dame;Big East;;21;11;64.2;58.5;5.72;;-0.28;;-7.20;7.25;0.05;403.21;-375.96;779.17
20;Green Bay;Horizon;;23;8;66.8;57.7;9.13;;14.02;;-2.71;1.73;-0.98;522.48;-277.66;800.14
21;Maryland;ACC;;18;13;68.4;65.4;2.97;;5.62;;14.40;-15.78;-1.38;434.31;-256.50;690.82
22;Auburn;SEC;;22;9;72.6;55.3;17.32;;1.29;;2.37;-4.08;-1.72;531.89;-307.80;839.69
23;Florida;SEC;;19;11;73.7;68.6;5.13;;-0.41;;12.05;-13.96;-1.91;476.84;-253.97;730.81
24;Texas;Big 12;;30;5;72.8;56.7;16.14;;-14.98;;8.12;-10.43;-2.31;441.83;-270.98;712.81
25;Middle Tennessee;Sun Belt;;24;8;67.0;58.5;8.47;;-3.34;;-1.18;-1.15;-2.34;545.61;-231.46;777.06
26;TCU;CUSA;;25;7;78.1;65.0;13.09;;-2.64;;4.41;-7.55;-3.14;402.37;-303.00;705.37
27;Miami (FL);Big East;;22;7;73.8;65.0;8.76;;-2.23;;3.55;-6.78;-3.23;418.46;-269.79;688.25
