;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;Big East;;36;2;76.6;50.1;26.47;;17.77;;22.60;21.64;44.24;91.60;25.44;66.16
2;Baylor;Big 12;;34;3;79.0;54.2;24.81;;15.73;;22.76;17.79;40.55;88.26;28.27;59.99
3;Stanford;Pac-10;;33;3;79.3;55.5;23.86;;15.54;;22.42;16.98;39.40;90.03;32.08;57.95
4;Texas A&M;Big 12;;33;5;77.6;56.0;21.61;;18.40;;23.16;15.61;38.76;82.07;28.30;53.77
5;Notre Dame;Big East;;31;8;77.0;56.2;20.79;;16.10;;21.83;15.07;36.89;83.68;29.81;53.87
6;Tennessee;SEC;;34;3;79.3;56.4;22.89;;13.72;;22.53;14.08;36.61;86.35;32.06;54.29
7;Duke;ACC;;32;4;70.5;55.6;14.86;;16.63;;13.63;17.86;31.49;77.27;30.80;46.47
8;North Carolina;ACC;;28;9;77.9;61.7;16.16;;9.89;;18.76;7.29;26.05;74.53;37.30;37.23
9;DePaul;Big East;;29;7;73.6;60.0;13.61;;12.17;;16.87;8.91;25.78;80.17;40.65;39.52
10;Xavier;A-10;;29;3;74.2;56.4;17.81;;7.26;;14.50;10.57;25.07;78.01;39.42;38.59
11;Gonzaga;WCC;;31;5;85.3;58.8;26.56;;3.41;;21.47;2.95;24.41;73.59;41.14;32.45
12;Miami (FL);ACC;;28;5;79.9;62.7;17.15;;7.02;;18.53;5.65;24.17;74.80;39.45;35.36
13;Ohio State;Big Ten;;24;10;74.1;65.6;8.44;;14.15;;17.11;6.61;23.72;76.84;42.35;34.49
14;Louisville;Big East;;22;13;71.2;60.3;10.91;;12.48;;13.89;9.50;23.39;76.50;40.23;36.27
15;Michigan State;Big Ten;;27;6;67.3;55.2;12.06;;11.06;;7.95;15.17;23.12;70.52;34.77;35.76
16;Oklahoma;Big 12;;23;12;75.8;67.4;8.40;;14.31;;18.28;4.43;22.71;76.43;42.17;34.27
17;Green Bay;Horizon;;34;2;74.1;53.1;20.94;;1.70;;11.68;10.97;22.65;71.91;37.07;34.84
18;Maryland;ACC;;24;8;71.7;58.1;13.53;;9.96;;12.23;10.22;22.44;74.68;39.38;35.30
19;West Virginia;Big East;;24;10;66.2;53.7;12.47;;9.98;;8.92;13.50;22.42;70.89;36.04;34.86
20;UCLA;Pac-10;;28;5;65.6;55.3;10.30;;12.07;;7.62;14.76;22.38;68.94;35.20;33.74
21;Georgetown;Big East;;24;11;64.0;55.3;8.71;;15.60;;7.78;14.47;22.25;70.20;36.50;33.71
22;Texas;Big 12;;19;14;76.3;66.8;9.52;;14.10;;19.12;2.78;21.89;74.07;42.23;31.84
23;Iowa State;Big 12;;22;11;65.2;55.0;10.24;;10.82;;7.20;13.86;21.07;74.17;39.86;34.31
24;Georgia Tech;ACC;;24;11;66.1;56.8;9.31;;11.60;;7.36;13.55;20.91;69.76;37.07;32.69
25;Syracuse;Big East;;25;10;70.0;57.0;13.06;;7.64;;11.80;8.89;20.70;74.39;42.05;32.34
26;Rutgers;Big East;;20;13;61.4;55.5;5.97;;17.34;;5.72;14.97;20.69;69.64;38.04;31.60
27;Texas Tech;Big 12;;22;11;65.4;56.9;8.52;;11.40;;6.04;13.88;19.92;68.94;36.90;32.05
28;Florida State;ACC;;24;8;73.5;64.0;9.47;;10.34;;14.37;5.44;19.81;74.28;43.25;31.03
29;Penn State;Big Ten;;25;10;76.9;67.6;9.31;;10.31;;18.76;0.87;19.63;76.83;47.10;29.73
30;Iowa;Big Ten;;22;9;71.0;63.9;7.06;;12.07;;12.25;6.89;19.14;75.62;45.49;30.13
31;Temple;A-10;;24;9;67.9;56.2;11.67;;7.47;;9.33;9.81;19.14;73.58;42.38;31.21
32;Marquette;Big East;;24;9;66.3;59.5;6.82;;11.13;;8.72;9.23;17.95;72.55;43.30;29.25
33;Purdue;Big Ten;;21;12;64.4;58.7;5.73;;12.20;;6.04;11.88;17.92;69.61;40.74;28.87
34;Louisiana State;SEC;;19;13;61.9;52.9;9.03;;8.81;;3.02;14.82;17.84;65.71;36.09;29.63
35;Kentucky;SEC;;25;9;70.9;62.3;8.68;;9.02;;11.31;6.38;17.69;67.61;39.66;27.95
36;Boston College;ACC;;20;13;77.9;69.1;8.85;;8.38;;17.16;0.07;17.23;75.56;49.85;25.71
37;Northern Iowa;MVC;;27;6;69.7;54.8;14.85;;2.07;;7.69;9.23;16.92;70.69;42.75;27.94
38;Brigham Young;MWC;;25;9;69.3;54.1;15.21;;5.36;;7.93;8.70;16.63;59.79;37.31;22.48
39;St. John's (NY);Big East;;22;11;62.6;57.5;5.12;;11.50;;6.51;10.11;16.62;68.74;41.40;27.34
40;Vanderbilt;SEC;;20;12;71.3;64.1;7.16;;9.07;;12.90;3.33;16.23;75.79;48.70;27.09
41;Oklahoma State;Big 12;;17;15;67.6;59.4;8.19;;9.27;;7.87;8.31;16.18;65.38;40.29;25.10
42;Michigan;Big Ten;;17;13;64.9;62.2;2.77;;13.13;;7.17;8.73;15.89;73.39;47.98;25.41
43;Bowling Green State;MAC;;28;5;71.8;57.5;14.36;;1.29;;8.54;7.11;15.65;72.89;47.11;25.78
44;Dayton;A-10;;21;12;74.2;67.1;7.09;;8.26;;14.26;1.09;15.35;68.28;44.40;23.88
45;Southern California;Pac-10;;24;13;69.2;65.9;3.32;;12.02;;11.03;4.32;15.35;69.61;46.15;23.46
46;Kansas State;Big 12;;21;11;60.9;56.3;4.63;;10.45;;2.86;12.21;15.07;68.43;42.96;25.46
47;Georgia;SEC;;23;11;63.6;58.6;5.03;;9.67;;4.49;10.21;14.70;66.22;41.75;24.47
48;Kansas;Big 12;;21;13;70.0;64.3;5.71;;8.99;;11.43;3.27;14.70;71.44;47.84;23.60
49;TCU;MWC;;22;11;67.7;58.7;9.00;;5.32;;6.95;7.37;14.32;63.55;42.11;21.45
50;Arizona State;Pac-10;;20;11;60.3;58.4;1.90;;12.36;;2.54;11.72;14.26;63.44;41.02;22.42
51;NC State;ACC;;14;17;76.0;69.6;6.35;;10.07;;16.15;-2.17;13.97;68.12;46.27;21.85
52;Wisconsin;Big Ten;;16;15;59.8;58.2;1.61;;12.29;;1.60;12.31;13.90;67.02;43.48;23.54
53;Princeton;Ivy;;24;5;69.2;51.8;17.38;;-3.87;;5.26;8.26;13.51;71.44;47.60;23.84
54;Northwestern;Big Ten;;19;14;66.6;65.0;1.58;;11.59;;8.29;4.87;13.17;69.79;48.28;21.52
55;Charlotte;A-10;;27;10;69.8;58.9;10.89;;3.31;;8.53;4.56;13.10;65.29;44.17;21.12
56;Duquesne;A-10;;24;9;69.4;61.1;8.36;;4.37;;7.33;5.40;12.74;65.57;44.54;21.03
57;California;Pac-10;;18;16;62.9;60.7;2.12;;10.57;;4.49;8.20;12.69;64.51;43.87;20.64
58;Wyoming;MWC;;24;9;66.5;54.1;12.39;;4.50;;5.47;7.22;12.69;64.01;45.80;18.20
59;Virginia;ACC;;19;16;66.8;64.5;2.31;;10.43;;6.61;5.88;12.49;66.74;45.97;20.77
60;Arizona;Pac-10;;21;12;73.7;70.5;3.24;;9.17;;13.98;-1.54;12.44;68.71;49.19;19.52
61;Pittsburgh;Big East;;14;17;66.3;64.6;1.71;;10.59;;8.66;3.64;12.30;70.11;49.34;20.77
62;Fresno State;WAC;;25;8;75.9;65.5;10.39;;1.50;;11.03;0.87;11.90;68.93;49.63;19.29
63;Marist;MAAC;;31;3;67.1;49.7;17.41;;-5.54;;3.89;7.97;11.87;69.73;47.28;22.45
64;James Madison;CAA;;26;8;70.4;62.2;8.26;;3.55;;9.78;1.53;11.30;69.42;49.33;20.10
65;Toledo;MAC;;29;8;66.6;59.2;7.35;;3.61;;3.64;7.32;10.96;66.01;46.79;19.22
66;Arkansas;SEC;;22;12;64.6;59.3;5.26;;5.67;;2.49;8.44;10.93;62.44;43.06;19.38
67;Nebraska;Big 12;;13;18;63.9;64.7;-0.77;;12.84;;5.99;4.86;10.84;67.57;48.76;18.81
68;Florida;SEC;;20;15;66.6;64.5;2.14;;8.57;;8.04;2.68;10.72;68.63;49.43;19.20
69;Eastern Michigan;MAC;;24;13;67.6;60.1;7.51;;2.82;;4.99;5.34;10.33;62.51;45.25;17.26
70;Louisiana Tech;WAC;;24;8;73.0;64.4;8.56;;1.56;;10.80;-0.68;10.12;65.53;48.18;17.35
71;Missouri State;MVC;;24;11;69.5;62.7;6.71;;3.30;;7.61;2.41;10.02;64.54;47.30;17.24
72;South Carolina;SEC;;18;15;58.7;58.6;0.06;;10.84;;0.27;9.63;9.90;62.71;45.12;17.59
73;Houston;CUSA;;26;6;74.5;66.3;8.22;;1.44;;10.17;-0.48;9.69;63.88;46.48;17.40
74;Minnesota;Big Ten;;12;18;64.0;65.6;-1.67;;11.20;;5.33;4.20;9.54;63.66;46.86;16.79
75;Middle Tennessee;Sun Belt;;23;8;70.0;61.5;8.52;;0.85;;7.79;1.57;9.36;69.06;50.62;18.44
